month,day,hour,439,440,441,910,442,443,444,445,324,lamax
02,01,00,0,0,1,0,0,0,0,0,0,51.09675
02,01,01,0,0,1,0,0,0,0,0,0,48.23758333333333
02,01,02,0,0,1,0,0,0,0,0,0,47.692055555555555
02,01,03,0,0,1,0,0,0,0,0,0,47.504444444444445
02,01,04,0,0,1,0,0,0,0,0,0,47.03494444444444
02,01,05,0,0,1,0,0,0,0,0,0,48.60230555555555
02,01,06,0,0,1,0,0,0,0,0,0,52.6895
02,01,07,0,0,1,0,0,0,0,0,0,57.59791666666667
02,01,08,0,0,1,0,0,0,0,0,0,59.32227777777778
02,01,09,0,0,1,0,0,0,0,0,0,59.2575
02,01,10,0,0,1,0,0,0,0,0,0,58.64841666666666
02,01,11,0,0,1,0,0,0,0,0,0,59.90475
02,01,12,0,0,1,0,0,0,0,0,0,57.77041666666667
02,01,13,0,0,1,0,0,0,0,0,0,57.45172222222222
02,01,14,0,0,1,0,0,0,0,0,0,57.66138888888889
02,01,15,0,0,1,0,0,0,0,0,0,58.21044444444445
02,01,16,0,0,1,0,0,0,0,0,0,57.49641666666667
02,01,17,0,0,1,0,0,0,0,0,0,58.01997222222222
02,01,18,0,0,1,0,0,0,0,0,0,57.889611111111115
02,01,19,0,0,1,0,0,0,0,0,0,58.672694444444446
02,01,20,0,0,1,0,0,0,0,0,0,56.01219444444444
02,01,21,0,0,1,0,0,0,0,0,0,54.82477777777778
02,01,22,0,0,1,0,0,0,0,0,0,53.93325
02,01,23,0,0,1,0,0,0,0,0,0,53.23699776785714
02,02,00,0,0,1,0,0,0,0,0,0,54.21319444444445
02,02,01,0,0,1,0,0,0,0,0,0,52.69913888888889
02,02,02,0,0,1,0,0,0,0,0,0,48.36680555555556
02,02,03,0,0,1,0,0,0,0,0,0,47.24788888888889
02,02,04,0,0,1,0,0,0,0,0,0,48.152833333333334
02,02,05,0,0,1,0,0,0,0,0,0,48.32308333333334
02,02,06,0,0,1,0,0,0,0,0,0,51.02988888888889
02,02,07,0,0,1,0,0,0,0,0,0,54.01747222222222
02,02,08,0,0,1,0,0,0,0,0,0,57.53758333333333
02,02,09,0,0,1,0,0,0,0,0,0,55.7875
02,02,10,0,0,1,0,0,0,0,0,0,55.75036111111111
02,02,11,0,0,1,0,0,0,0,0,0,55.90844444444444
02,02,12,0,0,1,0,0,0,0,0,0,57.535916666666665
02,02,13,0,0,1,0,0,0,0,0,0,56.89386111111111
02,02,14,0,0,1,0,0,0,0,0,0,55.33005555555556
02,02,15,0,0,1,0,0,0,0,0,0,56.248194444444444
