month,day,hour,weekend,temp,rain
1,1,0,1,13.655133333333334,0.0
1,1,1,1,13.225025,0.0
1,1,2,1,12.918471666666667,0.002
1,1,3,1,12.787498333333334,0.0
1,1,4,1,12.513390000000001,0.0
1,1,5,1,11.998448333333334,0.0
1,1,6,1,11.66174,0.0
1,1,7,1,11.482466666666667,0.0
1,1,8,1,11.082296666666666,0.0
1,1,9,1,11.407625000000001,0.0
1,1,10,1,11.82802,0.0
1,1,11,1,12.725238333333335,0.0
1,1,12,1,13.58787,0.0
1,1,13,1,14.221368333333333,0.0
1,1,14,1,14.372755,0.0
1,1,15,1,13.800370000000001,0.002
1,1,16,1,13.078668333333333,0.0
1,1,17,1,12.482503333333334,0.0
1,1,18,1,12.374635,0.0
1,1,19,1,12.569438333333332,0.0
1,1,20,1,12.554256666666667,0.0
1,1,21,1,12.461346666666666,0.0
1,1,22,1,12.444136666666665,0.0
1,1,23,1,12.368075,0.0
1,2,0,1,12.287446666666668,0.0
1,2,1,1,12.373975,0.0
1,2,2,1,12.090686666666668,0.0
1,2,3,1,12.164086666666668,0.0
1,2,4,1,12.210166666666666,0.0
1,2,5,1,11.961823333333333,0.0
1,2,6,1,11.965333333333334,0.0
1,2,7,1,12.752533333333332,0.0
1,2,8,1,13.080338333333332,0.0
1,2,9,1,12.988504999999998,0.0
1,2,10,1,13.154698333333334,0.0
1,2,11,1,13.178600000000001,0.0
1,2,12,1,13.523240000000001,0.002
1,2,13,1,13.722073333333334,0.0
1,2,14,1,13.444326666666667,0.0
1,2,15,1,12.889305,0.0
1,2,16,1,12.331436666666667,0.0
1,2,17,1,11.842826666666667,0.0
1,2,18,1,11.557228333333333,0.0
1,2,19,1,10.1622565,0.0
1,2,20,1,11.163243333333334,0.0
1,2,21,1,11.676201666666666,0.002
1,2,22,1,11.359765000000001,0.0
1,2,23,1,10.966971666666666,0.0
1,3,0,0,10.898258333333333,0.0
1,3,1,0,10.805376666666668,0.002
1,3,2,0,10.710903333333334,0.0
1,3,3,0,10.653608333333333,0.0
1,3,4,0,10.352985,0.002
1,3,5,0,10.367276666666667,0.0
1,3,6,0,10.24997,0.0
1,3,7,0,10.374613333333334,0.002
1,3,8,0,10.604263333333334,0.0
1,3,9,0,10.799665,0.002
1,3,10,0,10.71852,0.002
1,3,11,0,10.370421666666667,0.002
1,3,12,0,10.034285333333333,0.002
1,3,13,0,9.333071666666667,0.002
