Date,Holiday
11.03.2022,Sylvie Kreusch
12.03.2022,Oldskool Leuven XL
25.03.2022,Brutus
26.03.2022,Yevgueni
27.03.2022,Yevgueni
30.03.2022,The Sore Losers + DeWolff
03.04.2022,Cory Wong
09.04.2022,Shht
12.04.2022,The Haunted Youth
19.04.2022,Admiral Freebee
22.04.2022,Eefje de Visser
26.04.2022,Protoje
30.04.2022,Feest!
21.05.2022,Soulsister
28.05.2022,Nick Waterhouse
30.05.2022,JJ Wilde
09.06.2022,TaxiWars
11.06.2022,YES
12.06.2022,Frazey Ford
20.06.2022,Suzanne Vega
21.09.2022,De Kreuners
22.09.2022,De Kreuners
29.09.2022,Lettuce
02.02.2022,Femi Kuti
04.10.2022,Madeleine Peyroux
08.10.2022,Mudhoney
09.10.2022,Levellers
10.10.2022,Heather Nova
21.10.2022,Alfa Mist
25.10.2022,Groundation
29.10.2022,Duncan Laurence
14.11.2022,Lizz Wright
20.12.2022,Axelle Red: a very special Christmas
23.03.2023,Blackberry Smoke
22.04.2023,The Mission
