,noise_level,event,count,hour,day_of_week,humidity,temp,LC_n,solar_radiation,rain_intensity,daily_rain_sum,wind_dir,wind_speed,Minute,LC_RAD60,LC_TEMP_QCL0,LC_TEMP_QCL1,LC_TEMP_QCL2,LC_TEMP_QCL3,lat,lon,alt,climate_zone,green_cover,building_height,sky_view_factor,installation_height,month
8673,77.6,Unsupported,1.0,0,Friday,79.0,10.02,37.0,0.0,0.0,0.0,-1.0,0.4,0.0,0.0,13.66,13.66,13.6015,13.6985792033716,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8674,58.7,None,0.0,0,Friday,79.0,10.02,37.0,0.0,0.0,0.0,-1.0,0.4,0.0,0.0,13.66,13.66,13.6015,13.6985792033716,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8675,77.7,Transport road - Passenger car,1.0,0,Friday,79.0,10.02,37.0,0.0,0.0,0.0,-1.0,0.4,0.0,0.0,13.66,13.66,13.6015,13.6985792033716,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8676,71.0,None,0.0,0,Friday,79.0,10.02,37.0,0.0,0.0,0.0,-1.0,0.4,0.0,0.0,13.66,13.66,13.6015,13.6985792033716,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8677,51.8,None,0.0,0,Friday,79.0,10.02,37.0,0.0,0.0,0.0,-1.0,0.4,0.0,0.0,13.66,13.66,13.6015,13.6985792033716,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8678,62.2,None,0.0,0,Friday,79.0,10.02,37.0,0.0,0.0,0.0,-1.0,0.4,0.0,0.0,13.66,13.66,13.6015,13.6985792033716,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8679,67.1,None,0.0,0,Friday,79.0,10.02,37.0,0.0,0.0,0.0,-1.0,0.4,0.0,0.0,13.66,13.66,13.6015,13.6985792033716,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8680,58.4,None,0.0,0,Friday,79.0,10.02,37.0,0.0,0.0,0.0,-1.0,0.4,0.0,0.0,13.66,13.66,13.6015,13.6985792033716,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8681,65.6,None,0.0,0,Friday,79.0,10.02,37.0,0.0,0.0,0.0,-1.0,0.4,0.0,0.0,13.66,13.66,13.6015,13.6985792033716,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8682,69.0,None,0.0,0,Friday,79.0,10.02,37.0,0.0,0.0,0.0,-1.0,0.4,0.0,0.0,13.66,13.66,13.6015,13.6985792033716,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8683,71.1,None,0.0,0,Friday,81.0,10.35,38.0,0.0,0.0,0.0,11.0,0.02,10.0,0.0,13.54,13.54,13.4815,13.7565535906608,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8684,54.7,None,0.0,0,Friday,81.0,10.35,38.0,0.0,0.0,0.0,11.0,0.02,10.0,0.0,13.54,13.54,13.4815,13.7565535906608,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8685,73.1,None,0.0,0,Friday,81.0,10.35,38.0,0.0,0.0,0.0,11.0,0.02,10.0,0.0,13.54,13.54,13.4815,13.7565535906608,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8686,73.6,None,0.0,0,Friday,81.0,10.35,38.0,0.0,0.0,0.0,11.0,0.02,10.0,0.0,13.54,13.54,13.4815,13.7565535906608,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8687,72.2,None,0.0,0,Friday,81.0,10.35,38.0,0.0,0.0,0.0,11.0,0.02,10.0,0.0,13.54,13.54,13.4815,13.7565535906608,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8688,73.5,None,0.0,0,Friday,81.0,10.35,38.0,0.0,0.0,0.0,11.0,0.02,10.0,0.0,13.54,13.54,13.4815,13.7565535906608,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8689,64.8,None,0.0,0,Friday,81.0,10.35,38.0,0.0,0.0,0.0,11.0,0.02,10.0,0.0,13.54,13.54,13.4815,13.7565535906608,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8690,72.3,None,0.0,0,Friday,81.0,10.35,38.0,0.0,0.0,0.0,11.0,0.02,10.0,0.0,13.54,13.54,13.4815,13.7565535906608,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8691,67.8,None,0.0,0,Friday,81.0,10.35,38.0,0.0,0.0,0.0,11.0,0.02,10.0,0.0,13.54,13.54,13.4815,13.7565535906608,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8692,68.7,None,0.0,0,Friday,81.0,10.35,38.0,0.0,0.0,0.0,11.0,0.02,10.0,0.0,13.54,13.54,13.4815,13.7565535906608,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8693,71.4,None,0.0,0,Friday,84.0,10.57,37.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,13.15,13.15,13.0915,12.8027136157078,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8694,70.0,None,0.0,0,Friday,84.0,10.57,37.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,13.15,13.15,13.0915,12.8027136157078,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8695,72.7,None,0.0,0,Friday,84.0,10.57,37.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,13.15,13.15,13.0915,12.8027136157078,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8696,80.2,Unsupported,1.0,0,Friday,84.0,10.57,37.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,13.15,13.15,13.0915,12.8027136157078,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
8697,70.9,None,0.0,0,Friday,84.0,10.57,37.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,13.15,13.15,13.0915,12.8027136157078,50.847,4.756,47.0,9.0,1.0,4.28000020980835,0.610367295455032,2.0,7
