,location,timestamp,event,count
0,MP 01: Naamsestraat 35  Maxim,2022-01-04 00:24,Human voice - Shouting,1
1,MP 01: Naamsestraat 35  Maxim,2022-01-04 00:32,Transport road - Siren,1
2,MP 01: Naamsestraat 35  Maxim,2022-01-04 00:43,Human voice - Shouting,1
3,MP 01: Naamsestraat 35  Maxim,2022-01-04 00:49,Human voice - Shouting,1
4,MP 01: Naamsestraat 35  Maxim,2022-01-04 00:57,Human voice - Shouting,1
5,MP 01: Naamsestraat 35  Maxim,2022-01-04 01:17,Human voice - Shouting,1
6,MP 01: Naamsestraat 35  Maxim,2022-01-04 01:22,Human voice - Shouting,1
7,MP 01: Naamsestraat 35  Maxim,2022-01-04 01:23,Human voice - Shouting,1
8,MP 01: Naamsestraat 35  Maxim,2022-01-04 01:25,Human voice - Shouting,1
9,MP 01: Naamsestraat 35  Maxim,2022-01-04 01:31,Human voice - Shouting,1
10,MP 01: Naamsestraat 35  Maxim,2022-01-04 01:36,Unsupported,1
11,MP 01: Naamsestraat 35  Maxim,2022-01-04 01:37,Human voice - Shouting,1
12,MP 01: Naamsestraat 35  Maxim,2022-01-04 01:40,Human voice - Shouting,1
13,MP 01: Naamsestraat 35  Maxim,2022-01-04 01:48,Human voice - Shouting,2
14,MP 01: Naamsestraat 35  Maxim,2022-01-04 01:49,Human voice - Shouting,1
15,MP 01: Naamsestraat 35  Maxim,2022-01-04 02:05,Human voice - Shouting,1
16,MP 01: Naamsestraat 35  Maxim,2022-01-04 02:08,Human voice - Shouting,2
17,MP 01: Naamsestraat 35  Maxim,2022-01-04 02:28,Unsupported,1
18,MP 01: Naamsestraat 35  Maxim,2022-01-04 02:33,Human voice - Shouting,2
19,MP 01: Naamsestraat 35  Maxim,2022-01-04 02:46,Human voice - Shouting,2
20,MP 01: Naamsestraat 35  Maxim,2022-01-04 02:55,Human voice - Shouting,1
21,MP 01: Naamsestraat 35  Maxim,2022-01-04 03:16,Human voice - Shouting,1
22,MP 01: Naamsestraat 35  Maxim,2022-01-04 03:22,Human voice - Shouting,1
23,MP 01: Naamsestraat 35  Maxim,2022-01-04 03:27,Human voice - Shouting,1
24,MP 01: Naamsestraat 35  Maxim,2022-01-04 03:33,Human voice - Shouting,1
25,MP 01: Naamsestraat 35  Maxim,2022-01-04 03:49,Human voice - Shouting,1
26,MP 01: Naamsestraat 35  Maxim,2022-01-04 03:56,Human voice - Shouting,1
27,MP 01: Naamsestraat 35  Maxim,2022-01-04 04:10,Human voice - Shouting,1
28,MP 01: Naamsestraat 35  Maxim,2022-01-04 06:52,Transport road - Passenger car,1
29,MP 01: Naamsestraat 35  Maxim,2022-01-04 07:19,Transport road - Passenger car,1
30,MP 01: Naamsestraat 35  Maxim,2022-01-04 07:36,Transport road - Passenger car,1
31,MP 01: Naamsestraat 35  Maxim,2022-01-04 07:37,Unsupported,1
32,MP 01: Naamsestraat 35  Maxim,2022-01-04 07:40,Transport road - Passenger car,1
33,MP 01: Naamsestraat 35  Maxim,2022-01-04 08:06,Transport road - Passenger car,1
34,MP 01: Naamsestraat 35  Maxim,2022-01-04 08:10,Transport road - Passenger car,1
35,MP 01: Naamsestraat 35  Maxim,2022-01-04 08:30,Unsupported,1
36,MP 01: Naamsestraat 35  Maxim,2022-01-04 08:48,Transport road - Passenger car,1
37,MP 01: Naamsestraat 35  Maxim,2022-01-04 08:53,Transport road - Passenger car,1
38,MP 01: Naamsestraat 35  Maxim,2022-01-04 09:10,Unsupported,1
39,MP 01: Naamsestraat 35  Maxim,2022-01-04 09:16,Unsupported,1
40,MP 01: Naamsestraat 35  Maxim,2022-01-04 10:25,Transport road - Passenger car,1
41,MP 01: Naamsestraat 35  Maxim,2022-01-04 10:53,Human voice - Shouting,1
42,MP 01: Naamsestraat 35  Maxim,2022-01-04 10:56,Human voice - Shouting,1
43,MP 01: Naamsestraat 35  Maxim,2022-01-04 10:56,Unsupported,1
44,MP 01: Naamsestraat 35  Maxim,2022-01-04 10:59,Transport road - Passenger car,1
