,location,noise_level,event,count,hour,day_of_week,humidity,temp,solar_radiation,rain_intensity,daily_rain_sum,wind_dir,wind_speed,lat,lon,alt,climate_zone,green_cover,building_height,sky_view_factor,installation_height,month
3961,MP 01: Naamsestraat 35  Maxim,77.6,Unsupported,1.0,0,Friday,69.0,9.79,0.0,0.0,0.0,-0.5,0.03,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3962,MP 01: Naamsestraat 35  Maxim,58.7,None,0.0,0,Friday,69.0,9.79,0.0,0.0,0.0,-0.5,0.03,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3963,MP 01: Naamsestraat 35  Maxim,77.7,Transport road - Passenger car,1.0,0,Friday,69.0,9.79,0.0,0.0,0.0,-0.5,0.03,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3964,MP 01: Naamsestraat 35  Maxim,71.0,None,0.0,0,Friday,69.0,9.79,0.0,0.0,0.0,-0.5,0.03,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3965,MP 01: Naamsestraat 35  Maxim,51.8,None,0.0,0,Friday,69.0,9.79,0.0,0.0,0.0,-0.5,0.03,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3966,MP 01: Naamsestraat 35  Maxim,62.2,None,0.0,0,Friday,69.0,9.79,0.0,0.0,0.0,-0.5,0.03,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3967,MP 01: Naamsestraat 35  Maxim,67.1,None,0.0,0,Friday,69.0,9.79,0.0,0.0,0.0,-0.5,0.03,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3968,MP 01: Naamsestraat 35  Maxim,58.4,None,0.0,0,Friday,69.0,9.79,0.0,0.0,0.0,-0.5,0.03,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3969,MP 01: Naamsestraat 35  Maxim,65.6,None,0.0,0,Friday,69.0,9.79,0.0,0.0,0.0,-0.5,0.03,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3970,MP 01: Naamsestraat 35  Maxim,69.0,None,0.0,0,Friday,69.0,9.79,0.0,0.0,0.0,-0.5,0.03,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3971,MP 01: Naamsestraat 35  Maxim,71.1,None,0.0,0,Friday,69.5,9.81,0.0,0.0,0.0,-39.0,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3972,MP 01: Naamsestraat 35  Maxim,54.7,None,0.0,0,Friday,69.5,9.81,0.0,0.0,0.0,-39.0,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3973,MP 01: Naamsestraat 35  Maxim,73.1,None,0.0,0,Friday,69.5,9.81,0.0,0.0,0.0,-39.0,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3974,MP 01: Naamsestraat 35  Maxim,73.6,None,0.0,0,Friday,69.5,9.81,0.0,0.0,0.0,-39.0,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3975,MP 01: Naamsestraat 35  Maxim,72.2,None,0.0,0,Friday,69.5,9.81,0.0,0.0,0.0,-39.0,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3976,MP 01: Naamsestraat 35  Maxim,73.5,None,0.0,0,Friday,69.5,9.81,0.0,0.0,0.0,-39.0,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3977,MP 01: Naamsestraat 35  Maxim,64.8,None,0.0,0,Friday,69.5,9.81,0.0,0.0,0.0,-39.0,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3978,MP 01: Naamsestraat 35  Maxim,72.3,None,0.0,0,Friday,69.5,9.81,0.0,0.0,0.0,-39.0,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3979,MP 01: Naamsestraat 35  Maxim,67.8,None,0.0,0,Friday,69.5,9.81,0.0,0.0,0.0,-39.0,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3980,MP 01: Naamsestraat 35  Maxim,68.7,None,0.0,0,Friday,69.5,9.81,0.0,0.0,0.0,-39.0,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3981,MP 01: Naamsestraat 35  Maxim,71.4,None,0.0,0,Friday,70.5,9.83,0.0,0.0,0.0,-87.5,0.01,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3982,MP 01: Naamsestraat 35  Maxim,70.0,None,0.0,0,Friday,70.5,9.83,0.0,0.0,0.0,-87.5,0.01,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3983,MP 01: Naamsestraat 35  Maxim,72.7,None,0.0,0,Friday,70.5,9.83,0.0,0.0,0.0,-87.5,0.01,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3984,MP 01: Naamsestraat 35  Maxim,80.2,Unsupported,1.0,0,Friday,70.5,9.83,0.0,0.0,0.0,-87.5,0.01,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3985,MP 01: Naamsestraat 35  Maxim,70.9,None,0.0,0,Friday,70.5,9.83,0.0,0.0,0.0,-87.5,0.01,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3986,MP 01: Naamsestraat 35  Maxim,77.2,Transport road - Passenger car,1.0,0,Friday,70.5,9.83,0.0,0.0,0.0,-87.5,0.01,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3987,MP 01: Naamsestraat 35  Maxim,67.5,None,0.0,0,Friday,70.5,9.83,0.0,0.0,0.0,-87.5,0.01,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3988,MP 01: Naamsestraat 35  Maxim,69.4,None,0.0,0,Friday,70.5,9.83,0.0,0.0,0.0,-87.5,0.01,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3989,MP 01: Naamsestraat 35  Maxim,78.8,Transport road - Passenger car,1.0,0,Friday,70.5,9.83,0.0,0.0,0.0,-87.5,0.01,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3990,MP 01: Naamsestraat 35  Maxim,78.0,Transport road - Passenger car,1.0,0,Friday,70.5,9.83,0.0,0.0,0.0,-87.5,0.01,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3991,MP 01: Naamsestraat 35  Maxim,73.2,None,0.0,0,Friday,70.5,9.735,0.0,0.0,0.0,-82.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3992,MP 01: Naamsestraat 35  Maxim,65.5,None,0.0,0,Friday,70.5,9.735,0.0,0.0,0.0,-82.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3993,MP 01: Naamsestraat 35  Maxim,66.9,None,0.0,0,Friday,70.5,9.735,0.0,0.0,0.0,-82.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3994,MP 01: Naamsestraat 35  Maxim,74.5,None,0.0,0,Friday,70.5,9.735,0.0,0.0,0.0,-82.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3995,MP 01: Naamsestraat 35  Maxim,72.4,None,0.0,0,Friday,70.5,9.735,0.0,0.0,0.0,-82.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3996,MP 01: Naamsestraat 35  Maxim,82.7,Human voice - Shouting,1.0,0,Friday,70.5,9.735,0.0,0.0,0.0,-82.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3997,MP 01: Naamsestraat 35  Maxim,65.1,None,0.0,0,Friday,70.5,9.735,0.0,0.0,0.0,-82.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3998,MP 01: Naamsestraat 35  Maxim,64.4,None,0.0,0,Friday,70.5,9.735,0.0,0.0,0.0,-82.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
3999,MP 01: Naamsestraat 35  Maxim,66.2,None,0.0,0,Friday,70.5,9.735,0.0,0.0,0.0,-82.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4000,MP 01: Naamsestraat 35  Maxim,62.4,None,0.0,0,Friday,70.5,9.735,0.0,0.0,0.0,-82.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4001,MP 01: Naamsestraat 35  Maxim,75.9,None,0.0,0,Friday,70.5,9.61,0.0,0.0,0.0,-87.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4002,MP 01: Naamsestraat 35  Maxim,59.2,None,0.0,0,Friday,70.5,9.61,0.0,0.0,0.0,-87.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4003,MP 01: Naamsestraat 35  Maxim,67.4,None,0.0,0,Friday,70.5,9.61,0.0,0.0,0.0,-87.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4004,MP 01: Naamsestraat 35  Maxim,63.9,None,0.0,0,Friday,70.5,9.61,0.0,0.0,0.0,-87.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4005,MP 01: Naamsestraat 35  Maxim,68.9,None,0.0,0,Friday,70.5,9.61,0.0,0.0,0.0,-87.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4006,MP 01: Naamsestraat 35  Maxim,57.9,None,0.0,0,Friday,70.5,9.61,0.0,0.0,0.0,-87.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4007,MP 01: Naamsestraat 35  Maxim,73.8,None,0.0,0,Friday,70.5,9.61,0.0,0.0,0.0,-87.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4008,MP 01: Naamsestraat 35  Maxim,54.3,None,0.0,0,Friday,70.5,9.61,0.0,0.0,0.0,-87.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4009,MP 01: Naamsestraat 35  Maxim,67.2,None,0.0,0,Friday,70.5,9.61,0.0,0.0,0.0,-87.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4010,MP 01: Naamsestraat 35  Maxim,64.2,None,0.0,0,Friday,70.5,9.61,0.0,0.0,0.0,-87.5,0.005,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4011,MP 01: Naamsestraat 35  Maxim,65.3,None,0.0,0,Friday,70.0,9.45,0.0,0.0,0.0,0.0,0.0,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4012,MP 01: Naamsestraat 35  Maxim,66.4,None,0.0,0,Friday,70.0,9.45,0.0,0.0,0.0,0.0,0.0,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4013,MP 01: Naamsestraat 35  Maxim,75.7,None,0.0,0,Friday,70.0,9.45,0.0,0.0,0.0,0.0,0.0,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4014,MP 01: Naamsestraat 35  Maxim,74.0,None,0.0,0,Friday,70.0,9.45,0.0,0.0,0.0,0.0,0.0,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4015,MP 01: Naamsestraat 35  Maxim,75.2,Transport road - Passenger car,1.0,0,Friday,70.0,9.45,0.0,0.0,0.0,0.0,0.0,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4016,MP 01: Naamsestraat 35  Maxim,67.9,None,0.0,0,Friday,70.0,9.45,0.0,0.0,0.0,0.0,0.0,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4017,MP 01: Naamsestraat 35  Maxim,63.2,None,0.0,0,Friday,70.0,9.45,0.0,0.0,0.0,0.0,0.0,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4018,MP 01: Naamsestraat 35  Maxim,68.5,None,0.0,0,Friday,70.0,9.45,0.0,0.0,0.0,0.0,0.0,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4019,MP 01: Naamsestraat 35  Maxim,52.2,None,0.0,0,Friday,70.0,9.45,0.0,0.0,0.0,0.0,0.0,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4020,MP 01: Naamsestraat 35  Maxim,56.1,None,0.0,0,Friday,70.0,9.45,0.0,0.0,0.0,0.0,0.0,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4021,MP 01: Naamsestraat 35  Maxim,61.3,None,0.0,1,Friday,70.0,9.39,0.0,0.0,0.0,17.0,0.01,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
4022,MP 01: Naamsestraat 35  Maxim,65.3,None,0.0,1,Friday,70.0,9.39,0.0,0.0,0.0,17.0,0.01,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,7
