,timestamp,location,noise_level,event,count,hour,day_of_week,humidity,temp,solar_radiation,rain_intensity,daily_rain_sum,wind_dir,wind_speed,LC_RAD60,LC_TEMP_QCL0,LC_TEMP_QCL1,LC_TEMP_QCL2,LC_TEMP_QCL3,lat,lon,alt,climate_zone,green_cover,building_height,sky_view_factor,installation_height,month,day_of_month
0,2022-01-03 00:00:00,MP 01: Naamsestraat 35  Maxim,70.0,None,0.0,0,Monday,81.0,8.0,0.0,0.0,0.0,78.5,1.25,0.0,11.11,11.11,10.9475,11.024995,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,1,3
60,2022-01-03 01:00:00,MP 01: Naamsestraat 35  Maxim,75.7,None,0.0,1,Monday,81.5,7.89,0.0,0.0,0.0,-52.0,1.21,0.0,10.89,10.89,10.7275,10.878135,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,1,3
120,2022-01-03 02:00:00,MP 01: Naamsestraat 35  Maxim,68.1,None,0.0,2,Monday,81.5,7.720000000000001,0.0,0.0,0.0,-59.5,1.065,0.0,10.75,10.75,10.587499999999999,10.668975,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,1,3
180,2022-01-03 03:00:00,MP 01: Naamsestraat 35  Maxim,72.3,None,0.0,3,Monday,79.5,7.505,0.0,0.0,0.0,-41.5,1.21,0.0,10.86,10.86,10.697500000000002,10.79294,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,1,3
240,2022-01-03 17:00:00,MP 01: Naamsestraat 35  Maxim,72.2,None,0.0,17,Monday,88.0,8.095,0.0,0.0,0.0085,-59.5,0.7849999999999999,0.0,9.934999999999999,9.934999999999999,9.7725,9.733449,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,1,3
300,2022-01-03 18:00:00,MP 01: Naamsestraat 35  Maxim,70.3,None,0.0,18,Monday,89.0,8.14,0.0,0.0,0.009000000000000001,-73.5,0.18,0.0,9.89,9.89,9.7275,9.743495,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,1,3
360,2022-01-03 19:00:00,MP 01: Naamsestraat 35  Maxim,68.8,None,0.0,19,Monday,93.0,8.805,0.0,0.001,0.0095,30.0,0.605,0.0,9.86,9.86,9.697500000000002,9.685834499999999,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,1,3
420,2022-01-03 20:00:00,MP 01: Naamsestraat 35  Maxim,76.4,None,0.0,20,Monday,93.0,8.595,0.0,0.0,0.0095,-55.0,0.63,0.0,9.649999999999999,9.649999999999999,9.4875,9.453525500000001,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,1,3
480,2022-01-03 21:00:00,MP 01: Naamsestraat 35  Maxim,58.3,None,0.0,21,Monday,92.5,7.745,0.0,0.0005,0.0105,-68.0,0.24,0.0,8.915,8.915,8.7525,8.7561965,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,1,3
540,2022-01-03 22:00:00,MP 01: Naamsestraat 35  Maxim,71.1,None,0.0,22,Monday,92.5,7.42,0.0,0.0,0.011,-54.5,0.23500000000000001,0.0,8.555,8.555,8.3925,8.380167,50.8775,4.7005,26.5,2.0,0.0,18.3537012361674,0.6492869576660725,3.0,1,3
