,timestamp,MP 01: Naamsestraat 35  Maxim,MP 02: Naamsestraat 57 Xior,MP 03: Naamsestraat 62 Taste,MP 04: His & Hers,MP 05: Calvariekapel KU Leuven,MP 06: Parkstraat 2 La Filosofia,MP 07: Naamsestraat 81,MP 08: bis - Vrijthof
0,2022-01-12 00:00,82.5,79.3,63.7,67.9,64.5,74.6,67.0,51.0
1,2022-01-12 00:01,80.3,72.7,74.8,76.0,73.9,74.6,65.5,55.5
2,2022-01-12 00:02,71.8,79.6,66.0,71.7,86.3,71.0,64.3,44.9
3,2022-01-12 00:03,72.0,64.7,67.2,78.2,72.0,68.3,69.2,47.0
4,2022-01-12 00:04,66.9,73.6,72.2,64.7,77.5,76.5,63.8,53.1
5,2022-01-12 00:05,71.0,65.3,69.6,82.7,88.2,68.5,64.5,52.6
6,2022-01-12 00:06,69.7,65.6,76.6,80.4,64.8,58.1,52.7,47.8
7,2022-01-12 00:07,81.0,79.4,68.4,71.0,78.8,78.1,65.6,50.6
8,2022-01-12 00:08,79.4,74.2,79.7,81.4,72.5,79.0,78.8,50.5
9,2022-01-12 00:09,72.2,63.5,74.2,68.2,65.9,64.5,57.3,52.0
10,2022-01-12 00:10,71.8,70.2,70.3,67.2,66.7,64.6,65.1,46.7
11,2022-01-12 00:11,71.7,66.4,63.0,66.3,72.7,71.0,69.6,47.3
12,2022-01-12 00:12,75.9,64.0,66.3,60.8,60.1,62.7,55.1,58.1
13,2022-01-12 00:13,73.2,61.2,65.0,63.9,72.9,57.5,63.4,53.5
14,2022-01-12 00:14,69.9,62.0,70.9,63.4,62.0,67.4,65.9,48.2
15,2022-01-12 00:15,73.9,60.0,54.0,59.0,60.2,75.8,61.0,50.9
16,2022-01-12 00:16,69.4,62.1,62.1,64.0,74.3,66.1,69.2,49.5
17,2022-01-12 00:17,68.1,72.6,69.4,72.3,71.2,69.3,67.3,50.6
18,2022-01-12 00:18,73.0,73.6,65.5,62.7,68.0,72.7,68.0,51.5
19,2022-01-12 00:19,78.9,57.6,65.5,71.0,75.3,64.7,65.5,49.7
20,2022-01-12 00:20,69.3,58.7,67.3,66.4,69.1,64.7,64.2,59.3
21,2022-01-12 00:21,68.8,63.0,62.5,62.4,62.0,64.2,70.8,58.1
22,2022-01-12 00:22,70.8,69.8,59.4,68.2,70.6,72.1,64.7,60.3
23,2022-01-12 00:23,83.5,61.0,59.8,78.4,65.4,63.8,64.7,64.7
24,2022-01-12 00:24,77.4,82.3,70.1,75.1,74.8,73.4,71.9,49.8
25,2022-01-12 00:25,78.3,64.5,60.6,61.0,71.2,71.3,69.4,48.8
26,2022-01-12 00:26,75.8,64.3,65.3,69.5,77.9,73.1,60.2,49.3
